Headword;CEFR
automatic;A2
automatically;A2
autumn;A1
auxiliary;B1
availability;B2
available;B1
avenue;B1
average;A2
average;A2
avoid;A2
await;B2
awake;A1
award;A2
award;B1
aware;B1
awareness;B1
away;A1
awe;B2
awesome;B1
awful;A2
awkward;B1
ax/axe;B2
axis;B2
baby;A1
babysit;B1
babysitter;B1
back;A2
back;A1
back;A1
back;B1
backache;B1
background;A2
backpack;B1
backpacker;B1
backpacking;B1
backup;B2
backward/backwards;B2
backyard;B2
bacon;B1
bad;A1
badge;B2
badly;A2
badminton;A2
bad-tempered;B2
bag;A1
baggage;B1
bake;A2
baker;B1
bakery;B1
balance;B1
balance;B2
balanced;B2
balcony;A2
bald;B1
balky;B2
ball;A1
ballad;B2
ballet;B2
balloon;A2
ballot;B2
ban;B2
ban;B2
banana;A1
band;A1
bandage;B1
bang;B1
bang;B1
bank;A1
bank;A2
bank account;B1
banker;B2
banking;A2
bankrupt;B2
bankruptcy;B2
bar;A1
bar;B1
barbecue;A2
barbecue;B1
barber;A2
barbershop;B2
bare;B1
bare;B2
barely;B1
bargain;A2
bargain;B2
bark;B1
bark;B2
barley;B2
barman;B1
barn;B2
barometer;B2
barrel;B1
barren;B2
barrier;B2
bartender;B2
base;A2
base;B1
baseball;A1
basement;B1
basic;A2
basically;A2
basin;B1
basis;B1
basket;A2
basketball;A1
bat;A1
bat;B1
batch;A2
bath;A1
bathe;B1
bathhouse;B2
bathroom;A1
battery;A2
battle;B1
battlefield;B2
bay;A2
be;A1
beach;A1
beagle;B2
beak;B2
beam;B2
bean;A1
bear;A1
bear;A2
beard;B1
bearing;B2
beast;B1
beat;B2
beat;B1
beautiful;A1
beautifully;B1
beautify;B2
beauty;A2
beaver;B1
because;A1
because of;B1
become;A1
bed;A1
bedroom;A1
bedside;B1
bee;A1
beef;A1
been;A2
beer;A2
before;A1
before;A2
before;A1
beg;A2
begin;A1
beginner;A2
beginning;A2
behalf;B1
behave;B1
behavior/behaviour;A2
behind;A1
behind;A1
being;A2
belief;B1
believe;A1
bell;A1
bellow;B2
belly;A2
belong;A2
belongings;B2
beloved;B1
below;A1
below;A1
belt;A2
bench;A2
bend;B2
bend;A2
beneath;B1
beneficial;B2
benefit;B1
benefit;B2
benevolence;B2
benevolent;B2
bent;B1
